Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Hyundai,Elantra [2012-2015],1.8 S,Manual,Petrol,631000,74000,9,Ahmedabad
Skoda,Octavia [2015-2017],2.0 TDI CR Style Plus AT,Automatic,Diesel,967000,130000,8,Ahmedabad
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,547700,88000,3,Ahmedabad
Maruti Suzuki,S-Presso,VXi,Manual,Petrol,492800,16000,4,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,3220000,37309,4,Ahmedabad
BMW,3 Series,320d Luxury Line,Automatic (TC),Diesel,2120000,90573,8,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,2195000,85000,7,Ahmedabad
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,2195000,85000,7,Delhi
Toyota,Innova Crysta [2016-2020],2.4 ZX 7 STR,Manual,Diesel,1870000,85000,6,Ahmedabad
Honda,Amaze [2013-2016],1.2 S AT i-VTEC,Automatic,Petrol,440500,61000,9,Ahmedabad
BMW,2 Series Gran Coupe,220i M Sport,Automatic (TC),Petrol,3120000,43466,3,Ahmedabad
Tata,Tigor,XZ,Manual,Petrol,594400,8135,3,Ahmedabad
Hyundai,Venue,S 1.2 Petrol,Manual,Petrol,671000,64000,4,Ahmedabad
Hyundai,Elite i20 [2014-2015],Asta 1.2,Manual,Petrol,501200,85264,7,Ahmedabad
Volvo,XC60 [2013-2015],Summum D5,Automatic,Diesel,1770000,100000,9,Ahmedabad
BMW,X3 [2014-2018],xDrive-20d xLine,Automatic,Diesel,2370000,126000,8,Ahmedabad
Maruti Suzuki,S-Presso,VXi,Manual,Petrol,492800,15000,4,Ahmedabad
Mini,Cooper,D 5 Door,Automatic,Diesel,2395000,54000,7,Ahmedabad
Volkswagen,Vento [2010-2012],Highline Diesel,Manual,Diesel,466100,157525,8,Ahmedabad
Maruti Suzuki,Alto 800,LXi,Manual,Petrol,197400,64000,8,Ahmedabad
Tata,Tigor,XZ,Manual,Petrol,653000,14000,2,Ahmedabad
Honda,Jazz,V,Manual,Petrol,450000,66000,7,Ahmedabad
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,445200,62000,7,Ahmedabad
BMW,X3 [2014-2018],xDrive-20d xLine,Automatic,Diesel,2420000,77760,7,Ahmedabad
Maruti Suzuki,Swift [2011-2014],ZDi,Manual,Diesel,422500,51753,5,Ahmedabad
Maruti Suzuki,Baleno [2019-2022],Zeta,Manual,Petrol,500000,44040,5,Ahmedabad
Maruti Suzuki,Alto 800,LXi,Manual,Petrol,266600,12629,5,Ahmedabad
Honda,Jazz,V,Manual,Petrol,495400,18236,6,Ahmedabad
Tata,Nexon [2017-2020],XM,Manual,Petrol,571200,23880,4,Ahmedabad
Kia,Seltos [2019-2022],HTX IVT 1.5 [2019-2020],Automatic (CVT),Petrol,1024000,77788,4,Ahmedabad
Tata,Harrier [2019-2023],XT,Manual,Diesel,1470000,35448,3,Ahmedabad
Hyundai,Creta [2017-2018],E Plus 1.6 Petrol,Manual,Petrol,610000,58172,6,Ahmedabad
Honda,Amaze [2013-2016],1.2 S AT i-VTEC,Automatic,Petrol,472000,65979,8,Ahmedabad
Maruti Suzuki,Baleno,Alpha MT,Manual,Petrol,833000,6000,2,Ahmedabad
Maruti Suzuki,Grand Vitara,Alpha Plus Intelligent Hybrid eCVT,Automatic (e-CVT),Hybrid (Electric + Petrol),1581000,24000,2,Ahmedabad
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1034000,19000,4,Ahmedabad
Hyundai,Alcazar,Signature (O) 7 Seater 1.5 Diesel AT,Automatic (TC),Diesel,1795000,40586,2,Ahmedabad
Kia,Carnival,Limousine Plus 7 STR,Automatic (TC),Diesel,3084000,17200,1,Ahmedabad
Jeep,Compass [2017-2021],Sport Plus 1.4 Petrol,Manual,Petrol,1112000,34000,5,Ahmedabad
Maruti Suzuki,Swift DZire [2011-2015],VDI,Manual,Diesel,286300,62000,9,Ahmedabad
Toyota,Fortuner [2012-2016],3.0 4x2 AT,Automatic,Diesel,1395000,75000,10,Ahmedabad
Toyota,Urban Cruiser,Premium Grade MT,Manual,Petrol,806000,50000,3,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,1370000,52500,2,Ahmedabad
Mahindra,Marazzo [2018-2020],M6 7 STR,Manual,Diesel,797000,35000,6,Ahmedabad
Maruti Suzuki,Ertiga [2015-2018],VXi,Manual,Petrol,1072000,73000,3,Ahmedabad
Hyundai,Verna [2006-2010],i,Manual,Petrol,912000,90000,5,Ahmedabad
Mahindra,XUV500 [2015-2018],W10,Manual,Diesel,847000,103747,9,Ahmedabad
Maruti Suzuki,Vitara Brezza [2016-2020],VDi,Manual,Diesel,427200,75498,7,Ahmedabad
Maruti Suzuki,Celerio,VXi,Manual,Petrol,522100,48020,2,Ahmedabad
Mahindra,XUV500,W11,Manual,Diesel,1495000,85000,3,Ahmedabad
Honda,Jazz,V,Manual,Petrol,515500,75000,8,Ahmedabad
Honda,Jazz,V,Manual,Petrol,515500,75000,8,Chennai
Audi,A4,Premium 40 TFSI,Automatic (DCT),Petrol,2370000,20000,4,Ahmedabad
Kia,Seltos [2019-2022],GTX Plus AT 1.5 Diesel [2019-2020],Automatic,Diesel,1260000,30000,3,Ahmedabad
Kia,Carnival,Limousine Plus 7 STR,Automatic (TC),Diesel,2809000,16500,2,Ahmedabad
Kia,Carnival,Limousine Plus 7 STR,Automatic (TC),Diesel,3249000,16500,2,Bangalore
Kia,Seltos [2019-2022],HTX IVT 1.5 [2019-2020],Automatic (CVT),Petrol,1129000,19000,3,Ahmedabad
